vertex,lat, lon,linename,company
奈良,34.68077889641153, 135.81895376381317,万葉まほろば線,JR
京終,34.66997984143489, 135.82873743432933,万葉まほろば線,JR
帯解,34.64339720801266, 135.82620656753363,万葉まほろば線,JR
櫟本,34.62100982302106, 135.8262913094558,万葉まほろば線,JR
天理,34.601195437731946, 135.8305393407344,万葉まほろば線,JR
長柄,34.57420182671255, 135.83508984864713,万葉まほろば線,JR
柳本,34.55911174, 135.83843815003078,万葉まほろば線,JR
巻向,34.545433285119984, 135.84066925520435,万葉まほろば線,JR
三輪,34.52719176412109, 135.84856509858645,万葉まほろば線,JR
桜井,34.51347234556961, 135.84671903921708,万葉まほろば線,JR
香久山,34.51078477436202, 135.82521926871462,万葉まほろば線,JR
金橋,34.50961825856488, 135.7651380089752,万葉まほろば線,JR
王寺,34.59772266332324, 135.70227399727636,和歌山線,JR
畠田,34.57763044648121, 135.7035114437513,和歌山線,JR
志都美,34.561551550474924, 135.70183762008364,和歌山線,JR
香芝,34.543348161339004, 135.70591444789432,和歌山線,JR
JR五位堂,34.52765142695763, 135.71857463986427,和歌山線,JR
高田,34.51626676022408,135.7447531,和歌山線,JR
大和新庄,34.48866682559694, 135.73464860076714,和歌山線,JR
御所,34.46466321460042, 135.73485260118923,和歌山線,JR
玉手,34.45834448, 135.74859521997124,和歌山線,JR
掖上,34.45236285, 135.7632562070261,和歌山線,JR
吉野口,34.42084877882249, 135.75053663411597,和歌山線,JR
北宇智,34.382661462154516,135.7127334,和歌山線,JR
五条,34.35571728699052, 135.69776576344972,和歌山線,JR
三郷,34.58929613435219, 135.6866161705931,大和路線,JR
法隆寺,34.60149615425941,135.7372663,大和路線,JR
大和小泉,34.62227622638444, 135.76225792825116,大和路線,JR
郡山,34.647969975529904, 135.78924244857117,大和路線,JR
生駒,34.693324809098485, 135.6972458735988,生駒線,近鉄
菜畑,34.68555025554144, 135.70557734476031,生駒線,近鉄
一分,34.67592565829064, 135.70726397135118,生駒線,近鉄
南生駒,34.66550098294679, 135.7077754265108,生駒線,近鉄
萩の台,34.656546751249365, 135.7077245211917,生駒線,近鉄
東山,34.64813820858031, 135.70782705396937,生駒線,近鉄
元山上口,34.640065316073624, 135.6998019739194,生駒線,近鉄
平群,34.62917355506478, 135.70353295557132,生駒線,近鉄
竜田川,34.61748125646026, 135.70348199709838,生駒線,近鉄
勢野北口,34.60599598,135.6988849,生駒線,近鉄
信貴山下,34.60099036479767, 135.69448752324553,生駒線,近鉄
新王寺,34.59774906858284, 135.7030223118592,田原本線,近鉄
大輪田,34.58912679518835, 135.71907097116195,田原本線,近鉄
佐味田川,34.585172809522355, 135.72995716809888,田原本線,近鉄
池部,34.57856652901711, 135.73670349234303,田原本線,近鉄
箸尾,34.57031626307485, 135.7505023288532,田原本線,近鉄
但馬,34.56934940021956, 135.76690917345832,田原本線,近鉄
黒田,34.56829566393314, 135.77631384714513,田原本線,近鉄
高の原,34.72373748110263, 135.7907662439876,京都線,近鉄
平城,34.701722439454244, 135.78422433616194,京都線,近鉄
大和西大寺,34.69390609633185, 135.78611761902437,橿原線,近鉄
尼ヶ辻,34.681511021590765, 135.78233397413763,橿原線,近鉄
西ノ京,34.67053984676916, 135.7819750539546,橿原線,近鉄
九条,34.65923128120475, 135.78151595990585,橿原線,近鉄
近鉄郡山,34.64619841955895, 135.77926636166598,橿原線,近鉄
筒井,34.62041947906572, 135.78176968227174,橿原線,近鉄
平端,34.60662381945989, 135.78141291292744,橿原線,近鉄
ファミリー公園前,34.59826964651775, 135.78378336140224,橿原線,近鉄
結崎,34.58457775907492, 135.78464066394957,橿原線,近鉄
石見,34.571938564759925, 135.78574838164207,橿原線,近鉄
田原本,34.55330431156303, 135.79114726439596,橿原線,近鉄
笠縫,34.54178864138176, 135.79368501729925,橿原線,近鉄
新ノ口,34.52550929516489, 135.7948294158887,橿原線,近鉄
大和八木,34.51320494803076, 135.79229841481612,橿原線,近鉄
