データセット	データセットの説明（英語）	データセットの説明	データ型	代表的なReference
AirPassengers	Monthly Airline Passenger Numbers 1949-1960	1949-1960年の国際線旅客数の推移	時系列	"Box, et al. (1976)"
BJsales	Sales Data with Leading Indicator	Box & Jenkins (1976) に記載されている売上データ	時系列	"Box, et al. (1976)"
BJsales.lead	Sales Data with Leading Indicator	Box & Jenkins (1976)に記載されている売上の先行指標データ	時系列	"Box, et al. (1976)"
BOD	Biochemical Oxygen Demand	水中酸素要求量と水質の関係を示したデータ	データフレーム	Bates and Watts (1988)
CO2	Carbon Dioxide Uptake in Grass Plants	低温馴化したイヌビエのCO2濃度と光合成速度に関するデータ	データフレーム	Potvin et al. (1990)
ChickWeight	Weight versus age of chicks on different diets	ヒヨコの餌と体重増加の関係に関するデータ	データフレーム	Crowder and Hand (1990)
DNase	Elisa assay of DNase	DNA分解酵素を用いてELISA（Enzyme-Linked Immunosorbent Assay：酵素結合免疫吸着検定法）を開発した際のデータ	データフレーム	Davidian and Giltinan (1995)
EuStockMarkets	"Daily Closing Prices of Major European Stock Indices, 1991-1998"	1991-1998年のヨーロッパ株式市場の終値	時系列	"Erste Bank AG, Vienna, Austria."
Formaldehyde	Determination of Formaldehyde	クロモトープ酸と濃硫酸からホルムアルデヒドを生成した時の検量線データ	データフレーム	McNeil (1977)
HairEyeColor	Hair and Eye Color of Statistics Students	592人の学生の髪と目の色	3次元アレイ	Snee (1974)
Harman23.cor	Harman Example 2.3	7～17歳女性の体形データの相関係数	リスト	Harman (1976)
Harman74.cor	Harman Example 7.4	7－8グレードの学生の心理学テスト結果の相関係数	リスト	Harman (1976)
Indometh	Pharmacokinetics of Indomethacin	インドメタシンの薬物動態データ	データフレーム	Kwan et al. (1976)
InsectSprays	Effectiveness of Insect Sprays	殺虫剤で処理した昆虫の数	データフレーム	Beall (1942)
JohnsonJohnson	Quarterly Earnings per Johnson & Johnson Share	J&Jの4半期の1株当たり売上	時系列	Shumway et al. (2000)
LakeHuron	Level of Lake Huron 1875-1972	1875-1972年のヒューロン湖の水位データ	時系列	Brockwell and Davis (1991)
LifeCycleSavings	Intercountry Life-Cycle Savings Data	1960-1970年の各国の人口年齢構成と可処分所得	データフレーム	Sterling (1977) 
Loblolly	Growth of Loblolly pine trees	テーダマツの成長データ	データフレーム	Kung (1986)
Nile	Flow of the River Nile	1871-1970年のナイル川の年間流量	時系列	Durbin and Koopman (2001)
Orange	Growth of Orange Trees	オレンジの樹齢と幹の円周径の関係	データフレーム	Draper and Smith (1998)
OrchardSprays	Potency of Orchard Sprays	ラテン方角で行ったミツバチを退治するスプレーの評価	データフレーム	Finney (1947)
PlantGrowth	Results from an Experiment on Plant Growth	植物を2つの栽培条件で栽培した時の収量の違い	データフレーム	Dobson (1983)
Puromycin	Reaction Velocity of an Enzymatic Reaction	細胞にPuromycinを与えた時の酵素の反応率	データフレーム	Treloar (1974)
Seatbelts	Road Casualties in Great Britain 1969-84	1969-1984年のUKでの交通事故死者数とシートベルト義務化の関係	時系列	Harvey (1989)
Theoph	Pharmacokinetics of Theophylline	テオフィリンの薬物動態データ	データフレーム	Boeckmann et al. (1994)
