age,live,dead,ratio_live,ratio_dead,dead_pow,life_expectancy,sex
0,100000,184,0.99816,0.00184,0.07181,81.56,male
1,99816,24,0.99976,0.00024,0.00048,80.71,male
2,99792,17,0.99983,0.00017,0.00014,79.73,male
3,99775,11,0.99989,0.00011,0.00014,78.74,male
4,99764,8,0.99992,0.00008,0.00009,77.75,male
5,99756,6,0.99994,0.00006,0.00007,76.76,male
6,99750,6,0.99994,0.00006,0.00006,75.76,male
7,99744,5,0.99995,0.00005,0.00006,74.77,male
8,99739,5,0.99995,0.00005,0.00005,73.77,male
9,99733,5,0.99995,0.00005,0.00005,72.78,male
10,99728,6,0.99994,0.00006,0.00006,71.78,male
11,99722,7,0.99993,0.00007,0.00007,70.78,male
12,99715,9,0.99991,0.00009,0.00008,69.79,male
13,99706,11,0.99989,0.00011,0.00009,68.79,male
14,99696,14,0.99986,0.00014,0.00012,67.8,male
15,99682,17,0.99982,0.00018,0.00015,66.81,male
16,99664,22,0.99978,0.00022,0.0002,65.82,male
17,99642,28,0.99972,0.00028,0.00025,64.84,male
18,99615,32,0.99967,0.00033,0.0003,63.86,male
19,99582,38,0.99962,0.00038,0.00035,62.88,male
20,99544,44,0.99956,0.00044,0.00041,61.9,male
21,99501,49,0.99951,0.00049,0.00047,60.93,male
22,99452,52,0.99948,0.00052,0.00051,59.96,male
23,99400,52,0.99948,0.00052,0.00053,58.99,male
24,99348,50,0.99949,0.00051,0.00052,58.02,male
25,99297,49,0.99951,0.00049,0.0005,57.05,male
26,99248,48,0.99951,0.00049,0.00049,56.08,male
27,99200,48,0.99951,0.00049,0.00049,55.1,male
28,99152,49,0.99951,0.00049,0.00049,54.13,male
29,99103,49,0.9995,0.0005,0.00049,53.16,male
30,99054,51,0.99948,0.00052,0.0005,52.18,male
31,99003,55,0.99945,0.00055,0.00053,51.21,male
32,98948,59,0.9994,0.0006,0.00057,50.24,male
33,98889,63,0.99936,0.00064,0.00062,49.27,male
34,98825,67,0.99932,0.00068,0.00066,48.3,male
35,98759,69,0.9993,0.0007,0.00069,47.33,male
36,98690,70,0.99929,0.00071,0.00071,46.36,male
37,98619,72,0.99927,0.00073,0.00072,45.4,male
38,98547,76,0.99923,0.00077,0.00075,44.43,male
39,98471,83,0.99916,0.00084,0.0008,43.46,male
40,98388,91,0.99907,0.00093,0.00088,42.5,male
41,98297,100,0.99898,0.00102,0.00097,41.54,male
42,98196,110,0.99888,0.00112,0.00107,40.58,male
43,98086,121,0.99877,0.00123,0.00118,39.62,male
44,97965,132,0.99865,0.00135,0.00129,38.67,male
45,97833,146,0.99851,0.00149,0.00142,37.72,male
46,97687,160,0.99836,0.00164,0.00156,36.78,male
47,97528,175,0.99821,0.00179,0.00171,35.84,male
48,97353,192,0.99802,0.00198,0.00188,34.9,male
49,97161,213,0.99781,0.00219,0.00208,33.97,male
50,96948,236,0.99757,0.00243,0.00231,33.04,male
51,96712,260,0.99731,0.00269,0.00256,32.12,male
52,96452,285,0.99705,0.00295,0.00282,31.21,male
53,96167,311,0.99676,0.00324,0.00309,30.3,male
54,95856,341,0.99644,0.00356,0.0034,29.4,male
55,95515,375,0.99608,0.00392,0.00374,28.5,male
56,95140,411,0.99568,0.00432,0.00413,27.61,male
57,94729,448,0.99527,0.00473,0.00453,26.73,male
58,94280,487,0.99483,0.00517,0.00495,25.85,male
59,93793,530,0.99434,0.00566,0.00541,24.98,male
60,93263,582,0.99376,0.00624,0.00595,24.12,male
61,92681,640,0.99309,0.00691,0.00658,23.27,male
62,92041,704,0.99235,0.00765,0.0073,22.43,male
63,91337,768,0.99159,0.00841,0.00805,21.6,male
64,90569,835,0.99078,0.00922,0.00884,20.78,male
65,89734,906,0.9899,0.0101,0.00968,19.97,male
66,88829,991,0.98885,0.01115,0.01065,19.16,male
67,87838,1090,0.98759,0.01241,0.01182,18.37,male
68,86748,1195,0.98622,0.01378,0.01317,17.6,male
69,85553,1299,0.98482,0.01518,0.01457,16.84,male
70,84254,1414,0.98322,0.01678,0.01609,16.09,male
71,82840,1526,0.98157,0.01843,0.01775,15.36,male
72,81314,1636,0.97988,0.02012,0.01944,14.63,male
73,79678,1757,0.97795,0.02205,0.02126,13.92,male
74,77921,1888,0.97577,0.02423,0.02337,13.23,male
75,76033,2031,0.97328,0.02672,0.02576,12.54,male
76,74002,2180,0.97054,0.02946,0.02844,11.87,male
77,71822,2335,0.96749,0.03251,0.03143,11.22,male
78,69487,2482,0.96428,0.03572,0.03466,10.58,male
79,67005,2639,0.96061,0.03939,0.03818,9.95,male
80,64365,2822,0.95616,0.04384,0.04237,9.34,male
81,61544,3021,0.95092,0.04908,0.04743,8.74,male
82,58523,3230,0.9448,0.0552,0.05339,8.17,male
83,55293,3442,0.93774,0.06226,0.06035,7.62,male
84,51850,3646,0.92968,0.07032,0.06841,7.09,male
85,48204,3826,0.92063,0.07937,0.0776,6.59,male
86,44378,3979,0.91035,0.08965,0.08807,6.11,male
87,40399,4087,0.89882,0.10118,0.10005,5.66,male
88,36312,4133,0.88619,0.11381,0.11352,5.24,male
89,32179,4098,0.87266,0.12734,0.12829,4.85,male
90,28082,3985,0.85808,0.14192,0.14434,4.49,male
91,24096,3807,0.84201,0.15799,0.16213,4.15,male
92,20289,3568,0.82414,0.17586,0.18223,3.83,male
93,16721,3272,0.80434,0.19566,0.20514,3.55,male
94,13450,2909,0.78374,0.21626,0.23049,3.29,male
95,10541,2494,0.76339,0.23661,0.25797,3.06,male
96,8047,2054,0.74472,0.25528,0.28219,2.86,male
97,5993,1644,0.72571,0.27429,0.30749,2.68,male
98,4349,1277,0.70637,0.29363,0.33391,2.51,male
99,3072,962,0.68671,0.31329,0.36152,2.35,male
100,2110,703,0.66676,0.33324,0.39037,2.21,male
101,1407,497,0.64654,0.35346,0.4205,2.07,male
102,909,340,0.62606,0.37394,0.45198,1.95,male
103,569,225,0.60537,0.39463,0.48487,1.83,male
104,345,143,0.58448,0.41552,0.51922,1.73,male
105,201,88,0.56342,0.43658,0.55512,1.63,male
106,113,52,0.54223,0.45777,0.59261,1.54,male
107,62,29,0.52095,0.47905,0.63179,1.45,male
108,32,16,0.49961,0.50039,0.67271,1.37,male
109,16,8,0.47824,0.52176,0.71547,1.3,male
110,8,4,0.4569,0.5431,0.76013,1.23,male
111,4,2,0.43562,0.56438,0.8068,1.16,male
112,2,1,0.41444,0.58556,0.85554,1.1,male
113,1,0,0.39342,0.60658,0.90647,1.05,male
0,100000,172,0.99828,0.00172,0.06362,87.71,female
1,99828,17,0.99983,0.00017,0.00042,86.86,female
2,99811,12,0.99988,0.00012,0.00007,85.88,female
3,99800,9,0.99991,0.00009,0.0001,84.89,female
4,99791,7,0.99993,0.00007,0.00008,83.9,female
5,99784,7,0.99993,0.00007,0.00007,82.9,female
6,99777,7,0.99993,0.00007,0.00007,81.91,female
7,99771,6,0.99994,0.00006,0.00006,80.91,female
8,99765,6,0.99994,0.00006,0.00006,79.92,female
9,99759,5,0.99995,0.00005,0.00006,78.92,female
10,99753,5,0.99995,0.00005,0.00005,77.93,female
11,99748,6,0.99994,0.00006,0.00005,76.93,female
12,99742,7,0.99993,0.00007,0.00006,75.93,female
13,99735,8,0.99992,0.00008,0.00007,74.94,female
14,99727,9,0.99991,0.00009,0.00008,73.95,female
15,99719,11,0.99989,0.00011,0.0001,72.95,female
16,99707,14,0.99986,0.00014,0.00013,71.96,female
17,99693,17,0.99983,0.00017,0.00016,70.97,female
18,99676,19,0.99981,0.00019,0.00018,69.98,female
19,99657,20,0.9998,0.0002,0.0002,69,female
20,99637,22,0.99978,0.00022,0.00021,68.01,female
21,99615,23,0.99977,0.00023,0.00022,67.02,female
