prefectures,year,value
北海道,1921,1.13
北海道,1922,1.3
北海道,1923,1.32
北海道,1924,0.79
北海道,1925,1.23
北海道,1926,2.29
北海道,1927,2.19
北海道,1928,2.1
北海道,1929,2.34
北海道,1930,3.03
北海道,1931,2.02
北海道,1932,1.63
北海道,1933,1.7
北海道,1934,1.67
北海道,1935,1.77
北海道,1936,1.5
北海道,1937,0.97
北海道,1938,1.01
北海道,1939,0.92
北海道,1940,0.74
北海道,1941,0.48
北海道,1942,1.01
北海道,1943,-0.03
北海道,1944,NA
北海道,1945,NA
北海道,1946,NA
北海道,1947,NA
北海道,1948,4.59
北海道,1949,3.67
北海道,1950,2.82
北海道,1951,2.31
北海道,1952,2.54
北海道,1953,2.26
北海道,1954,1.77
北海道,1955,1.78
北海道,1956,1.22
北海道,1957,0.99
北海道,1958,1.44
北海道,1959,1.06
北海道,1960,0.75
北海道,1961,0.66
北海道,1962,0.52
北海道,1963,0.42
北海道,1964,0.45
北海道,1965,0.56
北海道,1966,0.29
北海道,1967,0.35
北海道,1968,0.17
北海道,1969,-0.06
北海道,1970,-0.5
北海道,1971,0.03
北海道,1972,0.36
北海道,1973,0.57
北海道,1974,0.93
北海道,1975,1.05
北海道,1976,1.06
北海道,1977,0.9
北海道,1978,0.86
北海道,1979,0.82
北海道,1980,0.74
北海道,1981,0.53
北海道,1982,0.44
北海道,1983,0.46
北海道,1984,0.28
北海道,1985,0.13
北海道,1986,-0.11
北海道,1987,-0.23
北海道,1988,-0.08
北海道,1989,-0.11
北海道,1990,-0.1
北海道,1991,0.11
北海道,1992,0.19
北海道,1993,0.15
北海道,1994,0.2
北海道,1995,0.2
北海道,1996,0.09
北海道,1997,0.02
北海道,1998,-0.06
北海道,1999,-0.12
北海道,2000,-0.1
青森県,1921,1.45
青森県,1922,1
青森県,1923,1.19
青森県,1924,0.99
青森県,1925,2.64
青森県,1926,1.5
青森県,1927,1.37
青森県,1928,1.32
青森県,1929,1.58
青森県,1930,2.21
青森県,1931,2.03
青森県,1932,1.6
青森県,1933,2.1
青森県,1934,1.88
青森県,1935,1.92
青森県,1936,0.51
青森県,1937,0.72
青森県,1938,1.58
青森県,1939,-1.06
青森県,1940,0.1
青森県,1941,0.56
青森県,1942,1.4
青森県,1943,1.1
青森県,1944,NA
青森県,1945,NA
青森県,1946,NA
青森県,1947,NA
青森県,1948,3.37
青森県,1949,2.74
青森県,1950,2.35
青森県,1951,1.55
青森県,1952,1.62
青森県,1953,1.48
青森県,1954,1.44
青森県,1955,1.44
青森県,1956,1
青森県,1957,0.67
青森県,1958,0.7
青森県,1959,0.62
青森県,1960,0.15
青森県,1961,0.03
青森県,1962,-0.4
青森県,1963,-0.17
青森県,1964,0
青森県,1965,-0.17
青森県,1966,0.09
青森県,1967,0.36
青森県,1968,0.22
青森県,1969,0.22
青森県,1970,-0.12
青森県,1971,0.09
青森県,1972,0.5
青森県,1973,0.58
青森県,1974,0.66
青森県,1975,1.02
青森県,1976,1.02
青森県,1977,0.82
青森県,1978,0.78
青森県,1979,0.61
青森県,1980,0.49
青森県,1981,0.17
青森県,1982,0.06
青森県,1983,0.07
青森県,1984,-0.12
青森県,1985,-0.14
青森県,1986,-0.46
青森県,1987,-0.43
青森県,1988,-0.58
青森県,1989,-0.66
青森県,1990,-0.63
青森県,1991,-0.28
青森県,1992,-0.17
青森県,1993,0.02
青森県,1994,0.21
青森県,1995,0.15
青森県,1996,0.1
青森県,1997,-0.13
青森県,1998,-0.12
青森県,1999,-0.15
青森県,2000,-0.1
岩手県,1921,1.15
岩手県,1922,1.15
岩手県,1923,1.81
岩手県,1924,0.85
岩手県,1925,1.43
岩手県,1926,1.53
岩手県,1927,1.51
岩手県,1928,1.41
岩手県,1929,1.6
岩手県,1930,1.98
岩手県,1931,1.39
岩手県,1932,1.24
岩手県,1933,1.19
岩手県,1934,1.35
岩手県,1935,1.84
岩手県,1936,1.32
岩手県,1937,0.58
岩手県,1938,0.46
岩手県,1939,0.03
岩手県,1940,0.65
岩手県,1941,0.39
岩手県,1942,1.13
岩手県,1943,1.21
岩手県,1944,NA
岩手県,1945,NA
岩手県,1946,NA
岩手県,1947,NA
岩手県,1948,3.27
岩手県,1949,1.73
岩手県,1950,1.52
岩手県,1951,1.39
岩手県,1952,1.27
岩手県,1953,1.15
岩手県,1954,0.92
岩手県,1955,1.11
岩手県,1956,0.67
岩手県,1957,0.21
岩手県,1958,0.44
岩手県,1959,0.27
岩手県,1960,-0.08
岩手県,1961,-0.3
岩手県,1962,-0.43
岩手県,1963,-0.49
岩手県,1964,-0.79
岩手県,1965,-0.6
岩手県,1966,-0.61
岩手県,1967,-0.46
岩手県,1968,-0.43
岩手県,1969,-0.6
岩手県,1970,-0.75
岩手県,1971,-0.4
岩手県,1972,0.01
岩手県,1973,0.21
岩手県,1974,0.47
岩手県,1975,0.74
岩手県,1976,0.7
岩手県,1977,0.43
岩手県,1978,0.55
岩手県,1979,0.47
岩手県,1980,0.44
岩手県,1981,0.32
岩手県,1982,0.19
岩手県,1983,0.16
岩手県,1984,0.13
岩手県,1985,0.01
岩手県,1986,-0.19
岩手県,1987,-0.3
岩手県,1988,-0.21
岩手県,1989,-0.31
岩手県,1990,-0.16
岩手県,1991,-0.1
岩手県,1992,0.01
岩手県,1993,0.09
岩手県,1994,0.09
岩手県,1995,0.09
岩手県,1996,0.06
岩手県,1997,-0.07
岩手県,1998,-0.03
岩手県,1999,-0.11
岩手県,2000,-0.08
宮城県,1921,1.69
宮城県,1922,1.44
宮城県,1923,3.06
宮城県,1924,1.28
宮城県,1925,0.81
宮城県,1926,1.91
宮城県,1927,1.64
宮城県,1928,1.64
宮城県,1929,1.67
宮城県,1930,2.25
宮城県,1931,2.36
宮城県,1932,2.19
宮城県,1933,2.23
宮城県,1934,0.86
宮城県,1935,0.18
宮城県,1936,2.08
宮城県,1937,0.04
宮城県,1938,-1.91
宮城県,1939,-0.08
宮城県,1940,0.86
宮城県,1941,0.34
宮城県,1942,0.87
宮城県,1943,1.26
宮城県,1944,NA
宮城県,1945,NA
宮城県,1946,NA
宮城県,1947,NA
宮城県,1948,2.54
宮城県,1949,1.77
宮城県,1950,1.74
宮城県,1951,0.21
宮城県,1952,0.83
宮城県,1953,0.74
宮城県,1954,0.84
宮城県,1955,1.15
宮城県,1956,0.73
宮城県,1957,-0.06
宮城県,1958,0.23
宮城県,1959,0.22
宮城県,1960,-0.19
宮城県,1961,-0.19
宮城県,1962,-0.29
宮城県,1963,0.16
宮城県,1964,0.41
宮城県,1965,0.47
宮城県,1966,0.4
宮城県,1967,0.81
宮城県,1968,0.79
宮城県,1969,0.83
宮城県,1970,0.88
宮城県,1971,1.08
宮城県,1972,1.22
宮城県,1973,1.58
宮城県,1974,1.77
宮城県,1975,1.63
宮城県,1976,1.45
宮城県,1977,1.24
宮城県,1978,1.19
宮城県,1979,1.31
宮城県,1980,1.15
宮城県,1981,1.02
宮城県,1982,1.04
宮城県,1983,0.89
宮城県,1984,0.75
宮城県,1985,0.73
宮城県,1986,0.61
宮城県,1987,0.76
宮城県,1988,0.68
宮城県,1989,0.66
宮城県,1990,0.56
宮城県,1991,0.82
宮城県,1992,0.72
宮城県,1993,0.68
宮城県,1994,0.6
宮城県,1995,0.69
宮城県,1996,0.41
宮城県,1997,0.42
宮城県,1998,0.29
宮城県,1999,0.2
宮城県,2000,0.24
秋田県,1921,0.66
秋田県,1922,3.03
秋田県,1923,0.88
秋田県,1924,-1.43
秋田県,1925,1.05
秋田県,1926,0.12
秋田県,1927,1.02
秋田県,1928,1.06
秋田県,1929,0.96
秋田県,1930,2.22
秋田県,1931,1.71
秋田県,1932,1.08
秋田県,1933,0.99
秋田県,1934,0.45
秋田県,1935,0.74
秋田県,1936,0.55
秋田県,1937,0.2
秋田県,1938,0.15
秋田県,1939,-0.14
秋田県,1940,-1.02
秋田県,1941,-0.1
秋田県,1942,1.07
秋田県,1943,0.95
秋田県,1944,NA
秋田県,1945,NA
秋田県,1946,NA
秋田県,1947,NA
秋田県,1948,1.11
秋田県,1949,1.57
秋田県,1950,1.38
秋田県,1951,0.44
秋田県,1952,0.54
秋田県,1953,0.64
秋田県,1954,0.52
秋田県,1955,0.86
秋田県,1956,0.08
秋田県,1957,-0.24
秋田県,1958,-0.24
秋田県,1959,-0.12
秋田県,1960,-0.47
秋田県,1961,-0.66
