"prefectures","year","value"
"北海道",1920,2359
"北海道",1921,2385.9
"北海道",1922,2416.9
"北海道",1923,2448.9
"北海道",1924,2468.2
"北海道",1925,2499
"北海道",1926,2556
"北海道",1927,2612.1
"北海道",1928,2667
"北海道",1929,2729.5
"北海道",1930,2812
"北海道",1931,2869.2
"北海道",1932,2916
"北海道",1933,2965.5
"北海道",1934,3014.9
"北海道",1935,3068
"北海道",1936,3114.2
"北海道",1937,3144.3
"北海道",1938,3176.2
"北海道",1939,3205.3
"北海道",1940,3229
"北海道",1941,3225.6
"北海道",1942,3258.1
"北海道",1943,3257
"北海道",1944,3256
"北海道",1945,3518
"北海道",1946,3488
"北海道",1947,3853
"北海道",1948,4029.7
"北海道",1949,4177.7
"北海道",1950,4296
"北海道",1951,4395
"北海道",1952,4506
"北海道",1953,4608
"北海道",1954,4690
"北海道",1955,4773
"北海道",1956,4832
"北海道",1957,4879
"北海道",1958,4949
"北海道",1959,5002
"北海道",1960,5039
"北海道",1961,5073
"北海道",1962,5099
"北海道",1963,5120
"北海道",1964,5143
"北海道",1965,5172
"北海道",1966,5187
"北海道",1967,5205
"北海道",1968,5213
"北海道",1969,5210
"北海道",1970,5184
"北海道",1971,5186
"北海道",1972,5205
"北海道",1973,5234
"北海道",1974,5283
"北海道",1975,5338
"北海道",1976,5395
"北海道",1977,5443
"北海道",1978,5490
"北海道",1979,5535
"北海道",1980,5576
"北海道",1981,5605
"北海道",1982,5630
"北海道",1983,5656
"北海道",1984,5672
"北海道",1985,5679
"北海道",1986,5673
"北海道",1987,5660
"北海道",1988,5656
"北海道",1989,5649
"北海道",1990,5644
"北海道",1991,5650
"北海道",1992,5661
"北海道",1993,5669
"北海道",1994,5681
"北海道",1995,5692
"北海道",1996,5697
"北海道",1997,5699
"北海道",1998,5695
"北海道",1999,5689
"北海道",2000,5683
"青森県",1920,756
"青森県",1921,767.4
"青森県",1922,775.1
"青森県",1923,784.3
"青森県",1924,792.1
"青森県",1925,813
"青森県",1926,825.2
"青森県",1927,836.5
"青森県",1928,847.5
"青森県",1929,860.9
"青森県",1930,880
"青森県",1931,897.8
"青森県",1932,912.2
"青森県",1933,931.4
"青森県",1934,948.9
"青森県",1935,967
"青森県",1936,972.1
"青森県",1937,979.1
"青森県",1938,994.6
"青森県",1939,984.1
"青森県",1940,985
"青森県",1941,983.8
"青森県",1942,997.6
"青森県",1943,1008.6
"青森県",1944,1009
"青森県",1945,1083
"青森県",1946,1089
"青森県",1947,1180
"青森県",1948,1220
"青森県",1949,1253.4
"青森県",1950,1283
"青森県",1951,1303
"青森県",1952,1324
"青森県",1953,1343
"青森県",1954,1363
"青森県",1955,1383
"青森県",1956,1396
"青森県",1957,1406
"青森県",1958,1416
"青森県",1959,1424
"青森県",1960,1427
"青森県",1961,1427
"青森県",1962,1421
"青森県",1963,1419
"青森県",1964,1419
"青森県",1965,1417
"青森県",1966,1418
"青森県",1967,1423
"青森県",1968,1426
"青森県",1969,1429
"青森県",1970,1428
"青森県",1971,1429
"青森県",1972,1436
"青森県",1973,1444
"青森県",1974,1454
"青森県",1975,1469
"青森県",1976,1484
"青森県",1977,1496
"青森県",1978,1507
"青森県",1979,1516
"青森県",1980,1524
"青森県",1981,1526
"青森県",1982,1527
"青森県",1983,1528
"青森県",1984,1527
"青森県",1985,1524
"青森県",1986,1517
"青森県",1987,1511
"青森県",1988,1502
"青森県",1989,1492
"青森県",1990,1483
"青森県",1991,1479
"青森県",1992,1476
"青森県",1993,1476
"青森県",1994,1480
"青森県",1995,1482
"青森県",1996,1483
"青森県",1997,1481
"青森県",1998,1479
"青森県",1999,1477
"青森県",2000,1476
"岩手県",1920,846
"岩手県",1921,855.3
"岩手県",1922,865.1
"岩手県",1923,880.8
"岩手県",1924,888.3
"岩手県",1925,901
"岩手県",1926,914.8
"岩手県",1927,928.6
"岩手県",1928,941.7
"岩手県",1929,956.8
"岩手県",1930,976
"岩手県",1931,989.3
"岩手県",1932,1001.6
"岩手県",1933,1013.5
"岩手県",1934,1027.2
"岩手県",1935,1046
"岩手県",1936,1059.9
"岩手県",1937,1066.1
"岩手県",1938,1071
"岩手県",1939,1071.3
"岩手県",1940,1078
"岩手県",1941,1074.9
"岩手県",1942,1087
"岩手県",1943,1100.1
"岩手県",1944,1104
"岩手県",1945,1228
"岩手県",1946,1217
"岩手県",1947,1263
"岩手県",1948,1304
"岩手県",1949,1326.5
"岩手県",1950,1347
"岩手県",1951,1365
"岩手県",1952,1383
"岩手県",1953,1399
"岩手県",1954,1411
"岩手県",1955,1427
"岩手県",1956,1437
"岩手県",1957,1440
"岩手県",1958,1446
"岩手県",1959,1450
"岩手県",1960,1449
"岩手県",1961,1444
"岩手県",1962,1438
"岩手県",1963,1431
"岩手県",1964,1420
"岩手県",1965,1411
"岩手県",1966,1403
"岩手県",1967,1396
"岩手県",1968,1390
"岩手県",1969,1382
"岩手県",1970,1371
"岩手県",1971,1366
"岩手県",1972,1366
"岩手県",1973,1369
"岩手県",1974,1375
"岩手県",1975,1386
"岩手県",1976,1395
"岩手県",1977,1401
"岩手県",1978,1409
"岩手県",1979,1416
"岩手県",1980,1422
"岩手県",1981,1426
"岩手県",1982,1429
"岩手県",1983,1432
"岩手県",1984,1433
"岩手県",1985,1434
"岩手県",1986,1431
"岩手県",1987,1427
"岩手県",1988,1424
"岩手県",1989,1419
"岩手県",1990,1417
"岩手県",1991,1416
"岩手県",1992,1416
"岩手県",1993,1417
"岩手県",1994,1418
"岩手県",1995,1420
"岩手県",1996,1420
"岩手県",1997,1419
"岩手県",1998,1419
"岩手県",1999,1417
"岩手県",2000,1416
"宮城県",1920,962
"宮城県",1921,978
"宮城県",1922,992.1
"宮城県",1923,1022.5
"宮城県",1924,1035.6
"宮城県",1925,1044
"宮城県",1926,1064
"宮城県",1927,1081.5
"宮城県",1928,1099.2
"宮城県",1929,1117.6
"宮城県",1930,1143
"宮城県",1931,1169.8
"宮城県",1932,1195.4
"宮城県",1933,1222.1
"宮城県",1934,1232.6
"宮城県",1935,1235
"宮城県",1936,1260.5
"宮城県",1937,1261
"宮城県",1938,1236.9
"宮城県",1939,1235.9
"宮城県",1940,1247
"宮城県",1941,1240
"宮城県",1942,1250.8
"宮城県",1943,1266.6
"宮城県",1944,1276
"宮城県",1945,1462
"宮城県",1946,1462
"宮城県",1947,1567
"宮城県",1948,1606.6
"宮城県",1949,1635
"宮城県",1950,1663
"宮城県",1951,1667
"宮城県",1952,1681
"宮城県",1953,1693
"宮城県",1954,1707
"宮城県",1955,1727
"宮城県",1956,1740
"宮城県",1957,1739
"宮城県",1958,1743
"宮城県",1959,1747
"宮城県",1960,1743
"宮城県",1961,1740
"宮城県",1962,1735
"宮城県",1963,1738
"宮城県",1964,1745
"宮城県",1965,1753
"宮城県",1966,1760
"宮城県",1967,1774
"宮城県",1968,1789
"宮城県",1969,1803
"宮城県",1970,1819
"宮城県",1971,1839
"宮城県",1972,1861
"宮城県",1973,1891
"宮城県",1974,1924
"宮城県",1975,1955
"宮城県",1976,1984
"宮城県",1977,2008
"宮城県",1978,2032
"宮城県",1979,2059
"宮城県",1980,2082
"宮城県",1981,2104
"宮城県",1982,2125
"宮城県",1983,2144
"宮城県",1984,2161
"宮城県",1985,2176
"宮城県",1986,2190
"宮城県",1987,2206
"宮城県",1988,2221
"宮城県",1989,2236
"宮城県",1990,2249
"宮城県",1991,2267
"宮城県",1992,2283
"宮城県",1993,2299
"宮城県",1994,2313
"宮城県",1995,2329
"宮城県",1996,2338
"宮城県",1997,2348
"宮城県",1998,2355
"宮城県",1999,2360
"宮城県",2000,2365
"秋田県",1920,899
"秋田県",1921,904.5
"秋田県",1922,931.9
"秋田県",1923,940.1
"秋田県",1924,926.7
"秋田県",1925,936
"秋田県",1926,937.5
"秋田県",1927,947.1
"秋田県",1928,957.1
"秋田県",1929,966.3
"秋田県",1930,988
"秋田県",1931,1004.6
"秋田県",1932,1015.4
"秋田県",1933,1025.5
"秋田県",1934,1030.1
"秋田県",1935,1038
"秋田県",1936,1043.4
"秋田県",1937,1045.5
"秋田県",1938,1047.1
"秋田県",1939,1045.6
"秋田県",1940,1035
"秋田県",1941,1026.4
"秋田県",1942,1037.4
"秋田県",1943,1047.3
"秋田県",1944,1049
"秋田県",1945,1212
"秋田県",1946,1196
"秋田県",1947,1257
"秋田県",1948,1271.3
"秋田県",1949,1291.2
