"...1","prefectures","year","value"
1,"北 海 道","y1920",4.22
1,"北 海 道","y1921",4.21
1,"北 海 道","y1922",4.21
1,"北 海 道","y1923",4.21
1,"北 海 道","y1924",4.19
1,"北 海 道","y1925",4.18
1,"北 海 道","y1926",4.21
1,"北 海 道","y1927",4.24
1,"北 海 道","y1928",4.26
1,"北 海 道","y1929",4.3
1,"北 海 道","y1930",4.36
1,"北 海 道","y1931",4.38
1,"北 海 道","y1932",4.39
1,"北 海 道","y1933",4.4
1,"北 海 道","y1934",4.41
1,"北 海 道","y1935",4.43
1,"北 海 道","y1936",4.44
1,"北 海 道","y1937",4.45
1,"北 海 道","y1938",4.47
1,"北 海 道","y1939",4.49
1,"北 海 道","y1940",4.49
1,"北 海 道","y1941",4.5
1,"北 海 道","y1942",4.5
1,"北 海 道","y1943",4.47
1,"北 海 道","y1944",4.46
1,"北 海 道","y1945",4.89
1,"北 海 道","y1946",4.77
1,"北 海 道","y1947",4.93
1,"北 海 道","y1948",5.04
1,"北 海 道","y1949",5.11
1,"北 海 道","y1950",5.16
1,"北 海 道","y1951",5.2
1,"北 海 道","y1952",5.25
1,"北 海 道","y1953",5.3
1,"北 海 道","y1954",5.31
1,"北 海 道","y1955",5.35
1,"北 海 道","y1956",5.36
1,"北 海 道","y1957",5.37
1,"北 海 道","y1958",5.39
1,"北 海 道","y1959",5.4
1,"北 海 道","y1960",5.39
1,"北 海 道","y1961",5.38
1,"北 海 道","y1962",5.36
1,"北 海 道","y1963",5.32
1,"北 海 道","y1964",5.29
1,"北 海 道","y1965",5.26
1,"北 海 道","y1966",5.24
1,"北 海 道","y1967",5.19
1,"北 海 道","y1968",5.15
1,"北 海 道","y1969",5.08
1,"北 海 道","y1970",5
1,"北 海 道","y1971",4.93
1,"北 海 道","y1972",4.84
1,"北 海 道","y1973",4.8
1,"北 海 道","y1974",4.78
1,"北 海 道","y1975",4.77
1,"北 海 道","y1976",4.77
1,"北 海 道","y1977",4.77
1,"北 海 道","y1978",4.77
1,"北 海 道","y1979",4.77
1,"北 海 道","y1980",4.76
1,"北 海 道","y1981",4.75
1,"北 海 道","y1982",4.74
1,"北 海 道","y1983",4.73
1,"北 海 道","y1984",4.71
1,"北 海 道","y1985",4.69
1,"北 海 道","y1986",4.66
1,"北 海 道","y1987",4.63
1,"北 海 道","y1988",4.61
1,"北 海 道","y1989",4.59
1,"北 海 道","y1990",4.57
1,"北 海 道","y1991",4.55
1,"北 海 道","y1992",4.54
1,"北 海 道","y1993",4.54
1,"北 海 道","y1994",4.53
1,"北 海 道","y1995",4.53
1,"北 海 道","y1996",4.53
1,"北 海 道","y1997",4.52
1,"北 海 道","y1998",4.5
1,"北 海 道","y1999",4.49
1,"北 海 道","y2000",4.48
2,"青 森 県","y1920",1.35
2,"青 森 県","y1921",1.35
2,"青 森 県","y1922",1.35
2,"青 森 県","y1923",1.35
2,"青 森 県","y1924",1.35
2,"青 森 県","y1925",1.36
2,"青 森 県","y1926",1.36
2,"青 森 県","y1927",1.36
2,"青 森 県","y1928",1.35
2,"青 森 県","y1929",1.36
2,"青 森 県","y1930",1.37
2,"青 森 県","y1931",1.37
2,"青 森 県","y1932",1.37
2,"青 森 県","y1933",1.38
2,"青 森 県","y1934",1.39
2,"青 森 県","y1935",1.4
2,"青 森 県","y1936",1.39
2,"青 森 県","y1937",1.39
2,"青 森 県","y1938",1.4
2,"青 森 県","y1939",1.38
2,"青 森 県","y1940",1.37
2,"青 森 県","y1941",1.37
2,"青 森 県","y1942",1.38
2,"青 森 県","y1943",1.38
2,"青 森 県","y1944",1.38
2,"青 森 県","y1945",1.5
2,"青 森 県","y1946",1.49
2,"青 森 県","y1947",1.51
2,"青 森 県","y1948",1.52
2,"青 森 県","y1949",1.53
2,"青 森 県","y1950",1.54
2,"青 森 県","y1951",1.54
2,"青 森 県","y1952",1.54
2,"青 森 県","y1953",1.54
2,"青 森 県","y1954",1.54
2,"青 森 県","y1955",1.55
2,"青 森 県","y1956",1.55
2,"青 森 県","y1957",1.55
2,"青 森 県","y1958",1.54
2,"青 森 県","y1959",1.54
2,"青 森 県","y1960",1.53
2,"青 森 県","y1961",1.51
2,"青 森 県","y1962",1.49
2,"青 森 県","y1963",1.48
2,"青 森 県","y1964",1.46
2,"青 森 県","y1965",1.44
2,"青 森 県","y1966",1.43
2,"青 森 県","y1967",1.42
2,"青 森 県","y1968",1.41
2,"青 森 県","y1969",1.39
2,"青 森 県","y1970",1.38
2,"青 森 県","y1971",1.36
2,"青 森 県","y1972",1.33
2,"青 森 県","y1973",1.32
2,"青 森 県","y1974",1.31
2,"青 森 県","y1975",1.31
2,"青 森 県","y1976",1.31
2,"青 森 県","y1977",1.31
2,"青 森 県","y1978",1.31
2,"青 森 県","y1979",1.31
2,"青 森 県","y1980",1.3
2,"青 森 県","y1981",1.29
2,"青 森 県","y1982",1.29
2,"青 森 県","y1983",1.28
2,"青 森 県","y1984",1.27
2,"青 森 県","y1985",1.26
2,"青 森 県","y1986",1.25
2,"青 森 県","y1987",1.24
2,"青 森 県","y1988",1.22
2,"青 森 県","y1989",1.21
2,"青 森 県","y1990",1.2
2,"青 森 県","y1991",1.19
2,"青 森 県","y1992",1.18
2,"青 森 県","y1993",1.18
2,"青 森 県","y1994",1.18
2,"青 森 県","y1995",1.18
2,"青 森 県","y1996",1.18
2,"青 森 県","y1997",1.17
2,"青 森 県","y1998",1.17
2,"青 森 県","y1999",1.17
2,"青 森 県","y2000",1.16
3,"岩 手 県","y1920",1.51
3,"岩 手 県","y1921",1.51
3,"岩 手 県","y1922",1.51
3,"岩 手 県","y1923",1.52
3,"岩 手 県","y1924",1.51
3,"岩 手 県","y1925",1.51
3,"岩 手 県","y1926",1.51
3,"岩 手 県","y1927",1.51
3,"岩 手 県","y1928",1.5
3,"岩 手 県","y1929",1.51
3,"岩 手 県","y1930",1.51
3,"岩 手 県","y1931",1.51
3,"岩 手 県","y1932",1.51
3,"岩 手 県","y1933",1.5
3,"岩 手 県","y1934",1.5
3,"岩 手 県","y1935",1.51
3,"岩 手 県","y1936",1.51
3,"岩 手 県","y1937",1.51
3,"岩 手 県","y1938",1.51
3,"岩 手 県","y1939",1.5
3,"岩 手 県","y1940",1.5
3,"岩 手 県","y1941",1.5
3,"岩 手 県","y1942",1.5
3,"岩 手 県","y1943",1.51
3,"岩 手 県","y1944",1.51
3,"岩 手 県","y1945",1.71
3,"岩 手 県","y1946",1.66
3,"岩 手 県","y1947",1.62
3,"岩 手 県","y1948",1.63
3,"岩 手 県","y1949",1.62
3,"岩 手 県","y1950",1.62
3,"岩 手 県","y1951",1.62
3,"岩 手 県","y1952",1.61
3,"岩 手 県","y1953",1.61
3,"岩 手 県","y1954",1.6
3,"岩 手 県","y1955",1.6
3,"岩 手 県","y1956",1.59
3,"岩 手 県","y1957",1.58
3,"岩 手 県","y1958",1.58
3,"岩 手 県","y1959",1.56
3,"岩 手 県","y1960",1.55
3,"岩 手 県","y1961",1.53
3,"岩 手 県","y1962",1.51
3,"岩 手 県","y1963",1.49
3,"岩 手 県","y1964",1.46
3,"岩 手 県","y1965",1.44
3,"岩 手 県","y1966",1.42
3,"岩 手 県","y1967",1.39
3,"岩 手 県","y1968",1.37
3,"岩 手 県","y1969",1.35
3,"岩 手 県","y1970",1.32
3,"岩 手 県","y1971",1.3
3,"岩 手 県","y1972",1.27
3,"岩 手 県","y1973",1.25
3,"岩 手 県","y1974",1.24
3,"岩 手 県","y1975",1.24
3,"岩 手 県","y1976",1.23
3,"岩 手 県","y1977",1.23
3,"岩 手 県","y1978",1.22
3,"岩 手 県","y1979",1.22
3,"岩 手 県","y1980",1.21
3,"岩 手 県","y1981",1.21
3,"岩 手 県","y1982",1.2
3,"岩 手 県","y1983",1.2
3,"岩 手 県","y1984",1.19
3,"岩 手 県","y1985",1.18
3,"岩 手 県","y1986",1.18
3,"岩 手 県","y1987",1.17
3,"岩 手 県","y1988",1.16
3,"岩 手 県","y1989",1.15
3,"岩 手 県","y1990",1.15
3,"岩 手 県","y1991",1.14
3,"岩 手 県","y1992",1.14
3,"岩 手 県","y1993",1.13
3,"岩 手 県","y1994",1.13
3,"岩 手 県","y1995",1.13
3,"岩 手 県","y1996",1.13
3,"岩 手 県","y1997",1.13
3,"岩 手 県","y1998",1.12
3,"岩 手 県","y1999",1.12
3,"岩 手 県","y2000",1.12
4,"宮 城 県","y1920",1.72
4,"宮 城 県","y1921",1.73
4,"宮 城 県","y1922",1.73
4,"宮 城 県","y1923",1.76
4,"宮 城 県","y1924",1.76
4,"宮 城 県","y1925",1.75
4,"宮 城 県","y1926",1.75
4,"宮 城 県","y1927",1.75
4,"宮 城 県","y1928",1.76
4,"宮 城 県","y1929",1.76
4,"宮 城 県","y1930",1.77
4,"宮 城 県","y1931",1.79
4,"宮 城 県","y1932",1.8
4,"宮 城 県","y1933",1.81
4,"宮 城 県","y1934",1.8
4,"宮 城 県","y1935",1.78
4,"宮 城 県","y1936",1.8
4,"宮 城 県","y1937",1.79
4,"宮 城 県","y1938",1.74
4,"宮 城 県","y1939",1.73
4,"宮 城 県","y1940",1.73
4,"宮 城 県","y1941",1.73
4,"宮 城 県","y1942",1.73
4,"宮 城 県","y1943",1.74
4,"宮 城 県","y1944",1.75
4,"宮 城 県","y1945",2.03
4,"宮 城 県","y1946",2
4,"宮 城 県","y1947",2.01
4,"宮 城 県","y1948",2.01
4,"宮 城 県","y1949",2
4,"宮 城 県","y1950",2
4,"宮 城 県","y1951",1.97
4,"宮 城 県","y1952",1.96
4,"宮 城 県","y1953",1.95
4,"宮 城 県","y1954",1.94
4,"宮 城 県","y1955",1.93
4,"宮 城 県","y1956",1.93
4,"宮 城 県","y1957",1.91
4,"宮 城 県","y1958",1.9
4,"宮 城 県","y1959",1.89
4,"宮 城 県","y1960",1.87
4,"宮 城 県","y1961",1.85
4,"宮 城 県","y1962",1.82
4,"宮 城 県","y1963",1.81
4,"宮 城 県","y1964",1.8
4,"宮 城 県","y1965",1.78
4,"宮 城 県","y1966",1.78
4,"宮 城 県","y1967",1.77
4,"宮 城 県","y1968",1.77
4,"宮 城 県","y1969",1.76
4,"宮 城 県","y1970",1.75
4,"宮 城 県","y1971",1.75
4,"宮 城 県","y1972",1.73
4,"宮 城 県","y1973",1.73
4,"宮 城 県","y1974",1.74
4,"宮 城 県","y1975",1.75
4,"宮 城 県","y1976",1.75
4,"宮 城 県","y1977",1.76
4,"宮 城 県","y1978",1.76
4,"宮 城 県","y1979",1.77
4,"宮 城 県","y1980",1.78
4,"宮 城 県","y1981",1.78
4,"宮 城 県","y1982",1.79
