"prefectures","year","value"
"北海道",1920,4.22
"北海道",1921,4.21
"北海道",1922,4.21
"北海道",1923,4.21
"北海道",1924,4.19
"北海道",1925,4.18
"北海道",1926,4.21
"北海道",1927,4.24
"北海道",1928,4.26
"北海道",1929,4.3
"北海道",1930,4.36
"北海道",1931,4.38
"北海道",1932,4.39
"北海道",1933,4.4
"北海道",1934,4.41
"北海道",1935,4.43
"北海道",1936,4.44
"北海道",1937,4.45
"北海道",1938,4.47
"北海道",1939,4.49
"北海道",1940,4.49
"北海道",1941,4.5
"北海道",1942,4.5
"北海道",1943,4.47
"北海道",1944,4.46
"北海道",1945,4.89
"北海道",1946,4.77
"北海道",1947,4.93
"北海道",1948,5.04
"北海道",1949,5.11
"北海道",1950,5.16
"北海道",1951,5.2
"北海道",1952,5.25
"北海道",1953,5.3
"北海道",1954,5.31
"北海道",1955,5.35
"北海道",1956,5.36
"北海道",1957,5.37
"北海道",1958,5.39
"北海道",1959,5.4
"北海道",1960,5.39
"北海道",1961,5.38
"北海道",1962,5.36
"北海道",1963,5.32
"北海道",1964,5.29
"北海道",1965,5.26
"北海道",1966,5.24
"北海道",1967,5.19
"北海道",1968,5.15
"北海道",1969,5.08
"北海道",1970,5
"北海道",1971,4.93
"北海道",1972,4.84
"北海道",1973,4.8
"北海道",1974,4.78
"北海道",1975,4.77
"北海道",1976,4.77
"北海道",1977,4.77
"北海道",1978,4.77
"北海道",1979,4.77
"北海道",1980,4.76
"北海道",1981,4.75
"北海道",1982,4.74
"北海道",1983,4.73
"北海道",1984,4.71
"北海道",1985,4.69
"北海道",1986,4.66
"北海道",1987,4.63
"北海道",1988,4.61
"北海道",1989,4.59
"北海道",1990,4.57
"北海道",1991,4.55
"北海道",1992,4.54
"北海道",1993,4.54
"北海道",1994,4.53
"北海道",1995,4.53
"北海道",1996,4.53
"北海道",1997,4.52
"北海道",1998,4.5
"北海道",1999,4.49
"北海道",2000,4.48
"青森県",1920,1.35
"青森県",1921,1.35
"青森県",1922,1.35
"青森県",1923,1.35
"青森県",1924,1.35
"青森県",1925,1.36
"青森県",1926,1.36
"青森県",1927,1.36
"青森県",1928,1.35
"青森県",1929,1.36
"青森県",1930,1.37
"青森県",1931,1.37
"青森県",1932,1.37
"青森県",1933,1.38
"青森県",1934,1.39
"青森県",1935,1.4
"青森県",1936,1.39
"青森県",1937,1.39
"青森県",1938,1.4
"青森県",1939,1.38
"青森県",1940,1.37
"青森県",1941,1.37
"青森県",1942,1.38
"青森県",1943,1.38
"青森県",1944,1.38
"青森県",1945,1.5
"青森県",1946,1.49
"青森県",1947,1.51
"青森県",1948,1.52
"青森県",1949,1.53
"青森県",1950,1.54
"青森県",1951,1.54
"青森県",1952,1.54
"青森県",1953,1.54
"青森県",1954,1.54
"青森県",1955,1.55
"青森県",1956,1.55
"青森県",1957,1.55
"青森県",1958,1.54
"青森県",1959,1.54
"青森県",1960,1.53
"青森県",1961,1.51
"青森県",1962,1.49
"青森県",1963,1.48
"青森県",1964,1.46
"青森県",1965,1.44
"青森県",1966,1.43
"青森県",1967,1.42
"青森県",1968,1.41
"青森県",1969,1.39
"青森県",1970,1.38
"青森県",1971,1.36
"青森県",1972,1.33
"青森県",1973,1.32
"青森県",1974,1.31
"青森県",1975,1.31
"青森県",1976,1.31
"青森県",1977,1.31
"青森県",1978,1.31
"青森県",1979,1.31
"青森県",1980,1.3
"青森県",1981,1.29
"青森県",1982,1.29
"青森県",1983,1.28
"青森県",1984,1.27
"青森県",1985,1.26
"青森県",1986,1.25
"青森県",1987,1.24
"青森県",1988,1.22
"青森県",1989,1.21
"青森県",1990,1.2
"青森県",1991,1.19
"青森県",1992,1.18
"青森県",1993,1.18
"青森県",1994,1.18
"青森県",1995,1.18
"青森県",1996,1.18
"青森県",1997,1.17
"青森県",1998,1.17
"青森県",1999,1.17
"青森県",2000,1.16
"岩手県",1920,1.51
"岩手県",1921,1.51
"岩手県",1922,1.51
"岩手県",1923,1.52
"岩手県",1924,1.51
"岩手県",1925,1.51
"岩手県",1926,1.51
"岩手県",1927,1.51
"岩手県",1928,1.5
"岩手県",1929,1.51
"岩手県",1930,1.51
"岩手県",1931,1.51
"岩手県",1932,1.51
"岩手県",1933,1.5
"岩手県",1934,1.5
"岩手県",1935,1.51
"岩手県",1936,1.51
"岩手県",1937,1.51
"岩手県",1938,1.51
"岩手県",1939,1.5
"岩手県",1940,1.5
"岩手県",1941,1.5
"岩手県",1942,1.5
"岩手県",1943,1.51
"岩手県",1944,1.51
"岩手県",1945,1.71
"岩手県",1946,1.66
"岩手県",1947,1.62
"岩手県",1948,1.63
"岩手県",1949,1.62
"岩手県",1950,1.62
"岩手県",1951,1.62
"岩手県",1952,1.61
"岩手県",1953,1.61
"岩手県",1954,1.6
"岩手県",1955,1.6
"岩手県",1956,1.59
"岩手県",1957,1.58
"岩手県",1958,1.58
"岩手県",1959,1.56
"岩手県",1960,1.55
"岩手県",1961,1.53
"岩手県",1962,1.51
"岩手県",1963,1.49
"岩手県",1964,1.46
"岩手県",1965,1.44
"岩手県",1966,1.42
"岩手県",1967,1.39
"岩手県",1968,1.37
"岩手県",1969,1.35
"岩手県",1970,1.32
"岩手県",1971,1.3
"岩手県",1972,1.27
"岩手県",1973,1.25
"岩手県",1974,1.24
"岩手県",1975,1.24
"岩手県",1976,1.23
"岩手県",1977,1.23
"岩手県",1978,1.22
"岩手県",1979,1.22
"岩手県",1980,1.21
"岩手県",1981,1.21
"岩手県",1982,1.2
"岩手県",1983,1.2
"岩手県",1984,1.19
"岩手県",1985,1.18
"岩手県",1986,1.18
"岩手県",1987,1.17
"岩手県",1988,1.16
"岩手県",1989,1.15
"岩手県",1990,1.15
"岩手県",1991,1.14
"岩手県",1992,1.14
"岩手県",1993,1.13
"岩手県",1994,1.13
"岩手県",1995,1.13
"岩手県",1996,1.13
"岩手県",1997,1.13
"岩手県",1998,1.12
"岩手県",1999,1.12
"岩手県",2000,1.12
