"prefectures","value","year","sex"
"北海道","1244",1920,"male"
"北海道","1115",1920,"female"
"北海道","111.6",1920,"ratio"
"北海道","1255.6",1921,"male"
"北海道","1130.3",1921,"female"
"北海道","111.1",1921,"ratio"
"北海道","1269.6",1922,"male"
"北海道","1147.2",1922,"female"
"北海道","110.7",1922,"ratio"
"北海道","1284",1923,"male"
"北海道","1164.8",1923,"female"
"北海道","110.2",1923,"ratio"
"北海道","1292.4",1924,"male"
"北海道","1175.9",1924,"female"
"北海道","109.9",1924,"ratio"
"北海道","1305",1925,"male"
"北海道","1193",1925,"female"
"北海道","109.4",1925,"ratio"
"北海道","1334.4",1926,"male"
"北海道","1221.6",1926,"female"
"北海道","109.2",1926,"ratio"
"北海道","1364",1927,"male"
"北海道","1248.1",1927,"female"
"北海道","109.3",1927,"ratio"
"北海道","1390.8",1928,"male"
"北海道","1276.2",1928,"female"
"北海道","109",1928,"ratio"
"北海道","1424.4",1929,"male"
"北海道","1305.1",1929,"female"
"北海道","109.1",1929,"ratio"
"北海道","1469",1930,"male"
"北海道","1344",1930,"female"
"北海道","109.3",1930,"ratio"
"北海道","1498",1931,"male"
"北海道","1371.2",1931,"female"
"北海道","109.2",1931,"ratio"
"北海道","1520.2",1932,"male"
"北海道","1395.7",1932,"female"
"北海道","108.9",1932,"ratio"
"北海道","1544.1",1933,"male"
"北海道","1421.4",1933,"female"
"北海道","108.6",1933,"ratio"
"北海道","1569.4",1934,"male"
"北海道","1445.5",1934,"female"
"北海道","108.6",1934,"ratio"
"北海道","1594",1935,"male"
"北海道","1474",1935,"female"
"北海道","108.1",1935,"ratio"
"北海道","1616.3",1936,"male"
"北海道","1497.9",1936,"female"
"北海道","107.9",1936,"ratio"
"北海道","1621.7",1937,"male"
"北海道","1522.6",1937,"female"
"北海道","106.5",1937,"ratio"
"北海道","1631.5",1938,"male"
"北海道","1544.7",1938,"female"
"北海道","105.6",1938,"ratio"
"北海道","1638.9",1939,"male"
"北海道","1566.4",1939,"female"
"北海道","104.6",1939,"ratio"
"北海道","1652",1940,"male"
"北海道","1577",1940,"female"
"北海道","104.8",1940,"ratio"
"北海道","1624.2",1941,"male"
"北海道","1601.4",1941,"female"
"北海道","101.4",1941,"ratio"
"北海道","1624.8",1942,"male"
"北海道","1633.4",1942,"female"
"北海道","99.5",1942,"ratio"
"北海道","1618.1",1943,"male"
"北海道","1638.9",1943,"female"
"北海道","98.7",1943,"ratio"
"北海道","1608",1944,"male"
"北海道","1648",1944,"female"
"北海道","97.6",1944,"ratio"
"北海道","1739",1945,"male"
"北海道","1780",1945,"female"
"北海道","97.7",1945,"ratio"
"北海道","1713",1946,"male"
"北海道","1775",1946,"female"
"北海道","96.5",1946,"ratio"
"北海道","1934",1947,"male"
"北海道","1919",1947,"female"
"北海道","100.8",1947,"ratio"
"北海道","2029.4",1948,"male"
"北海道","2000.3",1948,"female"
"北海道","101.5",1948,"ratio"
"北海道","2107.9",1949,"male"
"北海道","2069.7",1949,"female"
"北海道","101.8",1949,"ratio"
"北海道","2169",1950,"male"
"北海道","2126",1950,"female"
"北海道","102",1950,"ratio"
"北海道","2220",1951,"male"
"北海道","2175",1951,"female"
"北海道","102.1",1951,"ratio"
"北海道","2279",1952,"male"
"北海道","2227",1952,"female"
"北海道","102.4",1952,"ratio"
"北海道","2338",1953,"male"
"北海道","2270",1953,"female"
"北海道","103",1953,"ratio"
"北海道","2382",1954,"male"
"北海道","2308",1954,"female"
"北海道","103.2",1954,"ratio"
"北海道","2429",1955,"male"
"北海道","2344",1955,"female"
"北海道","103.6",1955,"ratio"
"北海道","2453",1956,"male"
"北海道","2378",1956,"female"
"北海道","103.1",1956,"ratio"
"北海道","2472",1957,"male"
"北海道","2407",1957,"female"
"北海道","102.7",1957,"ratio"
"北海道","2514",1958,"male"
"北海道","2436",1958,"female"
"北海道","103.2",1958,"ratio"
"北海道","2534",1959,"male"
"北海道","2468",1959,"female"
"北海道","102.7",1959,"ratio"
"北海道","2545",1960,"male"
"北海道","2494",1960,"female"
"北海道","102",1960,"ratio"
"北海道","2556",1961,"male"
"北海道","2517",1961,"female"
"北海道","101.5",1961,"ratio"
"北海道","2562",1962,"male"
"北海道","2537",1962,"female"
"北海道","101",1962,"ratio"
"北海道","2568",1963,"male"
"北海道","2552",1963,"female"
"北海道","100.7",1963,"ratio"
"北海道","2574",1964,"male"
"北海道","2569",1964,"female"
"北海道","100.2",1964,"ratio"
"北海道","2583",1965,"male"
"北海道","2589",1965,"female"
"北海道","99.8",1965,"ratio"
"北海道","2586",1966,"male"
"北海道","2601",1966,"female"
"北海道","99.4",1966,"ratio"
"北海道","2588",1967,"male"
"北海道","2617",1967,"female"
"北海道","98.9",1967,"ratio"
"北海道","2585",1968,"male"
"北海道","2628",1968,"female"
"北海道","98.4",1968,"ratio"
"北海道","2575",1969,"male"
"北海道","2635",1969,"female"
"北海道","97.8",1969,"ratio"
"北海道","2553",1970,"male"
"北海道","2631",1970,"female"
"北海道","97",1970,"ratio"
"北海道","2549",1971,"male"
"北海道","2637",1971,"female"
"北海道","96.7",1971,"ratio"
"北海道","2556",1972,"male"
"北海道","2649",1972,"female"
"北海道","96.5",1972,"ratio"
"北海道","2570",1973,"male"
"北海道","2665",1973,"female"
"北海道","96.4",1973,"ratio"
"北海道","2593",1974,"male"
"北海道","2690",1974,"female"
"北海道","96.4",1974,"ratio"
"北海道","2621",1975,"male"
"北海道","2717",1975,"female"
"北海道","96.5",1975,"ratio"
"北海道","2650",1976,"male"
"北海道","2745",1976,"female"
"北海道","96.5",1976,"ratio"
"北海道","2673",1977,"male"
"北海道","2770",1977,"female"
"北海道","96.5",1977,"ratio"
"北海道","2695",1978,"male"
"北海道","2795",1978,"female"
"北海道","96.4",1978,"ratio"
"北海道","2717",1979,"male"
"北海道","2818",1979,"female"
"北海道","96.4",1979,"ratio"
"北海道","2737",1980,"male"
"北海道","2839",1980,"female"
"北海道","96.4",1980,"ratio"
"北海道","2748",1981,"male"
"北海道","2857",1981,"female"
"北海道","96.2",1981,"ratio"
"北海道","2757",1982,"male"
"北海道","2873",1982,"female"
"北海道","96",1982,"ratio"
"北海道","2766",1983,"male"
"北海道","2890",1983,"female"
"北海道","95.7",1983,"ratio"
"北海道","2769",1984,"male"
"北海道","2903",1984,"female"
"北海道","95.4",1984,"ratio"
"北海道","2766",1985,"male"
"北海道","2913",1985,"female"
"北海道","95",1985,"ratio"
"北海道","2757",1986,"male"
"北海道","2916",1986,"female"
"北海道","94.6",1986,"ratio"
"北海道","2745",1987,"male"
"北海道","2915",1987,"female"
"北海道","94.2",1987,"ratio"
"北海道","2737",1988,"male"
"北海道","2918",1988,"female"
"北海道","93.8",1988,"ratio"
"北海道","2730",1989,"male"
"北海道","2919",1989,"female"
"北海道","93.5",1989,"ratio"
"北海道","2723",1990,"male"
"北海道","2921",1990,"female"
"北海道","93.2",1990,"ratio"
"北海道","2723",1991,"male"
"北海道","2927",1991,"female"
"北海道","93",1991,"ratio"
"北海道","2726",1992,"male"
"北海道","2935",1992,"female"
"北海道","92.9",1992,"ratio"
"北海道","2728",1993,"male"
"北海道","2941",1993,"female"
"北海道","92.8",1993,"ratio"
"北海道","2732",1994,"male"
"北海道","2949",1994,"female"
"北海道","92.7",1994,"ratio"
"北海道","2737",1995,"male"
